"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-28","0.00","76","88",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-01","0.00","79","93","66"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-02","0.00","80","93","68"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-03","0.00","81","94","70"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-04","0.00","82","93",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-05","0.00","80","94","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-06","0.00","81","95","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-07","0.00","83","96",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-08","0.00","83","97","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-09",,"80",,"70"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-10","0.00","83","98",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-11","0.00","83","97","68"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-12","0.00","86","98",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-13","0.00","86","101","73"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-14","0.00","83","97","71"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-15","0.00","82","98","71"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-16","0.00","85","95","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-17","0.00","83","92","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-18","0.00","85","99","75"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-19","0.00","85","96","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-20","0.00","83","95","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-21","0.00","83","92","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-22","0.00","83","94","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-23","0.00","84","93","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-24",,"83","93",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-25","0.00","81","92","73"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-26","0.00","80","93","72"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-27",,"84","94","73"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-28","0.00","85","95","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-29","0.00","86","96","80"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-30","0.00","85","98",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-03-31","0.00","89","99","79"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-01","0.00","87","99",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-02","0.00","87","98","78"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-03","0.00","86","98","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-04",,"87","97","77"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-05","0.00","88","99","76"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-06",,"87","99","74"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-04-07","0.00","87","97","73"
